year,CO2,Other well mixed GHGs,Trop. O3,Strat. O3,Direct Sulphate Aerosol,Aerosol-Cloud Interactions,Biomass Burning Aerosol,Black & Organic Carbon Aerosol,Solar,Volcanic aerosols in Strat.
1818,0.11,0.03,0.03,0.0,0.0,-0.03,0.0,0.0,-0.05,-0.92
1819,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.05,-0.34
1820,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.06,-0.04
1821,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.07,0.0
1822,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.07,0.0
1823,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.07,0.0
1824,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.06,0.0
1825,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.05,0.0
1826,0.1,0.04,0.03,0.0,0.0,-0.03,0.0,0.0,-0.04,0.0
1827,0.1,0.05,0.03,0.0,0.0,-0.03,0.0,0.0,-0.02,0.0
1828,0.11,0.05,0.03,0.0,0.0,-0.03,0.0,0.0,-0.01,0.0
1829,0.11,0.05,0.03,0.0,0.0,-0.03,0.0,0.0,-0.01,0.0
1830,0.11,0.05,0.03,0.0,0.0,-0.03,-0.01,0.0,0.0,0.0
1831,0.11,0.04,0.03,0.0,0.0,-0.03,-0.01,0.0,0.0,-1.54
1832,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,-0.02,-1.23
1833,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,-0.04,-0.61
1834,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,-0.04,-0.22
1835,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,-0.03,-4.94
1836,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,0.02,-1.45
1837,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,0.06,-0.52
1838,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,0.05,-0.19
1839,0.11,0.04,0.04,0.0,0.0,-0.03,-0.01,0.0,0.03,-0.07
1840,0.12,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,0.03,-0.05
1841,0.12,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,0.01,-0.01
1842,0.13,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,-0.01,0.0
1843,0.14,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,-0.01,-0.05
1844,0.14,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,-0.02,-0.01
1845,0.15,0.04,0.04,0.0,0.0,-0.04,-0.01,0.0,-0.03,0.0
1846,0.16,0.04,0.04,0.0,0.0,-0.04,-0.02,0.0,-0.02,-0.07
1847,0.16,0.04,0.04,0.0,0.0,-0.04,-0.02,0.0,-0.06,-0.02
1848,0.16,0.05,0.04,0.0,0.0,-0.04,-0.02,0.0,-0.02,-0.01
1849,0.17,0.05,0.04,0.0,0.0,-0.04,-0.02,0.0,0.04,0.0
1850,0.17,0.05,0.04,0.0,0.0,-0.04,-0.02,0.0,0.02,-0.1
1851,0.17,0.05,0.04,0.0,0.0,-0.04,-0.02,0.0,0.02,-0.08
1852,0.17,0.05,0.04,0.0,0.0,-0.04,-0.02,0.0,0.02,-0.05
1853,0.16,0.05,0.05,0.0,-0.01,-0.05,-0.02,0.0,0.01,-0.03
1854,0.16,0.05,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.01,0.0
1855,0.16,0.05,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.03,0.0
1856,0.16,0.05,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.04,-0.43
1857,0.16,0.05,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.04,-1.43
1858,0.16,0.06,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.02,-1.1
1859,0.15,0.06,0.05,0.0,-0.01,-0.05,-0.02,0.01,-0.01,-0.4
1860,0.15,0.06,0.05,0.0,-0.01,-0.06,-0.03,0.01,0.03,-0.18
1861,0.15,0.06,0.05,0.0,-0.01,-0.06,-0.03,0.01,0.04,-0.08
1862,0.15,0.06,0.05,0.0,-0.01,-0.06,-0.03,0.01,0.01,-0.23
1863,0.15,0.06,0.05,0.0,-0.01,-0.06,-0.03,0.01,0.01,-0.33
1864,0.16,0.06,0.06,0.0,-0.01,-0.06,-0.03,0.01,-0.02,-0.18
1865,0.16,0.06,0.06,0.0,-0.01,-0.06,-0.03,0.01,-0.02,-0.08
1866,0.16,0.07,0.06,0.0,-0.01,-0.07,-0.04,0.01,-0.02,-0.03
1867,0.17,0.07,0.06,0.0,-0.01,-0.07,-0.04,0.01,-0.04,-0.03
1868,0.17,0.07,0.06,0.0,-0.01,-0.07,-0.04,0.01,-0.04,0.0
1869,0.18,0.07,0.06,0.0,-0.01,-0.07,-0.04,0.01,-0.01,0.0
1870,0.19,0.07,0.06,0.0,-0.01,-0.07,-0.04,0.01,-0.03,-0.03
1871,0.2,0.07,0.06,0.0,-0.02,-0.08,-0.04,0.02,0.03,-0.03
1872,0.2,0.08,0.06,0.0,-0.02,-0.08,-0.04,0.02,0.01,-0.03
1873,0.21,0.08,0.06,0.0,-0.02,-0.09,-0.05,0.02,0.02,-0.05
1874,0.21,0.08,0.06,0.0,-0.02,-0.1,-0.05,0.02,0.0,-0.08
1875,0.22,0.08,0.07,0.0,-0.02,-0.1,-0.04,0.02,-0.02,-0.03
1876,0.22,0.08,0.07,0.0,-0.02,-0.1,-0.04,0.02,-0.03,-0.1
1877,0.22,0.08,0.07,0.0,-0.02,-0.09,-0.04,0.02,-0.03,-0.15
1878,0.22,0.09,0.07,0.0,-0.02,-0.09,-0.04,0.02,-0.04,-0.1
1879,0.22,0.09,0.07,0.0,-0.02,-0.1,-0.04,0.02,-0.04,-0.05
